"Region","Country","Target","Indicator Number","Indicator Name","Year","Value","Metadata"
"SDG: Central and Southern Asia","Afghanistan","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2018","61.40","SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)"
"SDG: Central and Southern Asia","Afghanistan","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2022","44.24","SOURCE: Afghanistan MICS 2022-23. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above."
"SDG: Central and Southern Asia","Afghanistan","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2018","46.00","SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)"
"SDG: Central and Southern Asia","Afghanistan","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2022","31.27","SOURCE: Afghanistan MICS 2022-23. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above."
"SDG: Central and Southern Asia","Afghanistan","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2020","65.20","SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)"
"SDG: Central and Southern Asia","Afghanistan","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2019","63.40","SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)"
"SDG: Central and Southern Asia","Afghanistan","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2019","47.40","SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)"
"SDG: Central and Southern Asia","Afghanistan","4.1","4.1.2","Completion rate, upper secondary education, both sexes (%)","2022","26.70","SOURCE: Afghanistan MICS 2022-23. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above."
"SDG: Central and Southern Asia","Afghanistan","4.1","4.1.2","Completion rate, upper secondary education, both sexes (%)","2019","32.60","SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)"
"SDG: Central and Southern Asia","Afghanistan","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2020","48.90","SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)"
"SDG: Central and Southern Asia","Afghanistan","4.1","4.1.2","Completion rate, upper secondary education, both sexes (%)","2018","31.50","SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)"
"SDG: Central and Southern Asia","Afghanistan","4.1","4.1.2","Completion rate, upper secondary education, both sexes (%)","2020","33.50","SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)"
"SDG: Sub-Saharan Africa","Angola","4.1","4.1.2","Completion rate, upper secondary education, both sexes (%)","2019","17.90","SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)"
"SDG: Sub-Saharan Africa","Angola","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2020","59.00","SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)"
"SDG: Sub-Saharan Africa","Angola","4.1","4.1.2","Completion rate, upper secondary education, both sexes (%)","2018","17.50","SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)"
"SDG: Sub-Saharan Africa","Angola","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2020","36.70","SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)"
"SDG: Sub-Saharan Africa","Angola","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2019","36.00","SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)"
"SDG: Sub-Saharan Africa","Angola","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2019","57.80","SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)"
"SDG: Sub-Saharan Africa","Angola","4.1","4.1.2","Completion rate, upper secondary education, both sexes (%)","2020","18.20","SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)"
"SDG: Sub-Saharan Africa","Angola","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2018","56.70","SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)"
"SDG: Sub-Saharan Africa","Angola","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2018","35.20","SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)"
"SDG: Europe and Northern America","Albania","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2018","97.30","SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)"
"SDG: Europe and Northern America","Albania","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2019","97.30","SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)"
"SDG: Europe and Northern America","Albania","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2020","96.60","SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)"
"SDG: Europe and Northern America","Albania","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2019","96.50","SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)"
