"Region","Country","Target","Indicator Number","Indicator Name","Year","Value","Metadata"
"SDG: Sub-Saharan Africa","Angola","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2018","5.41","SOURCE:  ORCAMENTO GERAL DO ESTADO | 2018 (https://www.ucm.minfin.gov.ao/cs/groups/public/documents/document/zmlu/mdu3/~edisp/minfin057174.pdf)"
"SDG: Sub-Saharan Africa","Angola","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2021","6.92","SOURCE:  ORCAMENTO GERAL DO ESTADO | 2021 (https://www.ucm.minfin.gov.ao/cs/groups/public/documents/document/aw4x/mjcw/~edisp/minfin1270854.pdf)"
"SDG: Sub-Saharan Africa","Angola","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2020","6.47","SOURCE:  ORCAMENTO GERAL DO ESTADO | 2020 (https://www.ucm.minfin.gov.ao/cs/groups/public/documents/document/aw4x/mjcw/~edisp/minfin1270875.pdf)"
"SDG: Sub-Saharan Africa","Angola","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2019","6.05","SOURCE:  ORCAMENTO GERAL DO ESTADO | 2019 (https://www.ucm.minfin.gov.ao/cs/groups/public/documents/document/aw4x/mtqy/~edisp/minfin1142298.pdf)"
"SDG: Sub-Saharan Africa","Angola","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2022","6.64","SOURCE:  ORCAMENTO GERAL DO ESTADO | 2022 (https://www.ucm.minfin.gov.ao/cs/groups/public/documents/document/aw4x/mjcw/~edisp/minfin1270854.pdf)"
"SDG: Sub-Saharan Africa","Angola","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2023","7.73","SOURCE:  ORCAMENTO GERAL DO ESTADO | 2023 (https://www.ucm.minfin.gov.ao/cs/groups/public/documents/document/aw4z/mzg4/~edisp/minfin3388665.pdf)"
"SDG: Latin America and the Caribbean","Anguilla","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2022","11.79","SOURCE:  Estimates of Recurrent Revenue, Expenditure and Capital (http://www.gov.ai/documents/2021%20Budget.pdf ; http://www.gov.ai/documents/finance/2022%20Budget.pdf)"
"SDG: Latin America and the Caribbean","Anguilla","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2019","13.48","SOURCE:  Estimates of Recurrent Revenue, Expenditure and Capital (http://www.gov.ai/documents/budget/2019%20GOA%20Budget.pdf)"
"SDG: Latin America and the Caribbean","Anguilla","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2018","14.20","SOURCE:  Estimates of Recurrent Revenue, Expenditure and Capital (http://www.gov.ai/documents/budget/2019%20GOA%20Budget.pdf)"
"SDG: Latin America and the Caribbean","Anguilla","1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","2021","12.79","SOURCE:  Estimates of Recurrent Revenue, Expenditure and Capital (http://www.gov.ai/documents/2021%20Budget.pdf ; http://www.gov.ai/documents/finance/2022%20Budget.pdf)"
