"Region","Country","Target","Indicator Number","Indicator Name","Year","Value","Metadata"
"SDG: Europe and Northern America","Albania","4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, both sexes (%)","2021","92.12","SOURCE: Progress in International Reading Literacy Study (PIRLS). Students achieving at least low International Benchmark. Grade 4"
"SDG: Northern Africa and Western Asia","United Arab Emirates","4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, both sexes (%)","2021","75.03","SOURCE: Progress in International Reading Literacy Study (PIRLS). Students achieving at least low International Benchmark. Grade 4"
"SDG: Latin America and the Caribbean","Argentina","4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, both sexes (%)","2019","31.90","SOURCE: Laboratorio Latinoamericano de Evaluacion de la Calidad de la Educacion (LLECE). Students achieving at least proficiency Level 3. Grade 6"
"SDG: Europe and Northern America","Austria","4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, both sexes (%)","2021","95.92","SOURCE: Progress in International Reading Literacy Study (PIRLS). Students achieving at least low International Benchmark. Grade 4"
"SDG: Northern Africa and Western Asia","Azerbaijan","4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, both sexes (%)","2021","67.43","SOURCE: Progress in International Reading Literacy Study (PIRLS). Students achieving at least low International Benchmark. Grade 4"
"SDG: Sub-Saharan Africa","Burundi","4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, both sexes (%)","2019","4.50","SOURCE: CONFEMEN Programme for the Analysis of Education Systems (PASEC). Students achieving at least proficiency Level 4. Grade 6"
"SDG: Europe and Northern America","Belgium","4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, both sexes (%)","2021","94.31","SOURCE: Progress in International Reading Literacy Study (PIRLS). Students achieving at least low International Benchmark. Grade 4. The results correspond only to Belgium (Flemish)"
"SDG: Sub-Saharan Africa","Benin","4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, both sexes (%)","2019","45.50","SOURCE: CONFEMEN Programme for the Analysis of Education Systems (PASEC). Students achieving at least proficiency Level 4. Grade 6"
"SDG: Sub-Saharan Africa","Burkina Faso","4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, both sexes (%)","2019","33.00","SOURCE: CONFEMEN Programme for the Analysis of Education Systems (PASEC). Students achieving at least proficiency Level 4. Grade 6"
"SDG: Europe and Northern America","Bulgaria","4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, both sexes (%)","2021","92.88","SOURCE: Progress in International Reading Literacy Study (PIRLS). Students achieving at least low International Benchmark. Grade 4"
